KEGG_ko	Symbol	Name
ko:K00101	lldD	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
ko:K00102	LDHD, dld	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
ko:K00103,ko:K00107		
ko:K00111	glpA, glpD	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
ko:K00118	gfo	glucose-fructose oxidoreductase [EC:1.1.99.28]
ko:K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
ko:K00122	FDH	formate dehydrogenase [EC:1.17.1.9]
ko:K00128	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
ko:K00128,ko:K00129		
ko:K00128,ko:K00129,ko:K17819		
ko:K00129	ALDH3	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
ko:K00133	asd	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
ko:K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
ko:K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
ko:K00143	LYS2	L-2-aminoadipate reductase [EC:1.2.1.95]
ko:K00147	proA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
ko:K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
ko:K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
ko:K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
ko:K00181,ko:K15323		
ko:K00211	TYR1	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
ko:K00218	por	protochlorophyllide reductase [EC:1.3.1.33]
ko:K00222	TM7SF2, ERG24	Delta14-sterol reductase [EC:1.3.1.70]
ko:K00223	ERG4	Delta24(24(1))-sterol reductase [EC:1.3.1.71]
ko:K00226	pyrD	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
ko:K00226,ko:K00254		
ko:K00227	SC5DL, ERG3	Delta7-sterol 5-desaturase [EC:1.14.19.20]
ko:K00228	CPOX, hemF	coproporphyrinogen III oxidase [EC:1.3.3.3]
ko:K00231	PPOX, hemY	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
ko:K00232	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase [EC:1.3.3.6]
ko:K00234	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
ko:K00235	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
ko:K00236	SDHC, SDH3	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
ko:K00237	SDHD, SDH4	succinate dehydrogenase (ubiquinone) membrane anchor subunit
ko:K00237,ko:K17791		
ko:K00249	ACADM, acd	acyl-CoA dehydrogenase [EC:1.3.8.7]
ko:K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
ko:K00264	GLT1	glutamate synthase (NADH) [EC:1.4.1.14]
ko:K00272,ko:K00273		
ko:K00273	DAO, aao	D-amino-acid oxidase [EC:1.4.3.3]
ko:K00275	pdxH, PNPO	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
ko:K00276	AOC3, AOC2, tynA	primary-amine oxidase [EC:1.4.3.21]
ko:K00281	GLDC, gcvP	glycine dehydrogenase [EC:1.4.4.2]
ko:K00286	proC	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
ko:K00286,ko:K00318,ko:K14454		
ko:K00287	DHFR, folA	dihydrofolate reductase [EC:1.5.1.3]
ko:K00288	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
ko:K00290,ko:K11874		
ko:K00293,ko:K00797		
ko:K00294	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
ko:K00295	MTD1	methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]
ko:K00297	metF, MTHFR	methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]
ko:K00306	PIPOX	sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]
ko:K00311	ETFDH	electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
ko:K00326	CYB5R	cytochrome-b5 reductase [EC:1.6.2.2]
ko:K00327	POR	NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
ko:K00344	qor, CRYZ	NADPH:quinone reductase [EC:1.6.5.5]
ko:K00344,ko:K00384		
ko:K00354	E1.6.99.1	NADPH2 dehydrogenase [EC:1.6.99.1]
ko:K00365	uaZ	urate oxidase [EC:1.7.3.3]
ko:K00380	cysJ	sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
ko:K00381	cysI	sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
ko:K00382,ko:K17583		
ko:K00383	GSR, gor	glutathione reductase (NADPH) [EC:1.8.1.7]
ko:K00390	cysH	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
ko:K00411	UQCRFS1, RIP1, petA	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]
ko:K00412	CYTB, petB	ubiquinol-cytochrome c reductase cytochrome b subunit
ko:K00413	CYC1, CYT1, petC	ubiquinol-cytochrome c reductase cytochrome c1 subunit
ko:K00413,ko:K10632		
ko:K00413,ko:K22399		
ko:K00414	QCR1, UQCRC1	ubiquinol-cytochrome c reductase core subunit 1
ko:K00415	QCR2, UQCRC2	ubiquinol-cytochrome c reductase core subunit 2
ko:K00416	QCR6, UQCRH	ubiquinol-cytochrome c reductase subunit 6
ko:K00417	QCR7, UQCRB	ubiquinol-cytochrome c reductase subunit 7
ko:K00418	QCR8, UQCRQ	ubiquinol-cytochrome c reductase subunit 8
ko:K00419	QCR9, UCRC	ubiquinol-cytochrome c reductase subunit 9
ko:K00420	QCR10, UQCR	ubiquinol-cytochrome c reductase subunit 10
ko:K00428	E1.11.1.5	cytochrome c peroxidase [EC:1.11.1.5]
ko:K00432	gpx, btuE, bsaA	glutathione peroxidase [EC:1.11.1.9]
ko:K00452	HAAO	3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]
ko:K00459	ncd2, npd	nitronate monooxygenase [EC:1.13.12.16]
ko:K00463	IDO, INDO	indoleamine 2,3-dioxygenase [EC:1.13.11.52]
ko:K00467	E1.13.12.4	lactate 2-monooxygenase [EC:1.13.12.4]
ko:K00469	MIOX	inositol oxygenase [EC:1.13.99.1]
ko:K00471	BBOX1	gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
ko:K00474	TMLHE	trimethyllysine dioxygenase [EC:1.14.11.8]
ko:K00486	KMO	kynurenine 3-monooxygenase [EC:1.14.13.9]
ko:K00493	XANG	xanthocillin biosynthesis cytochrome P450 monooxygenase [EC:1.14.-.-]
ko:K00507	SCD, desC	stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
ko:K00507,ko:K22377		
ko:K00511	SQLE, ERG1	squalene monooxygenase [EC:1.14.14.17]
ko:K00547	mmuM, BHMT2	homocysteine S-methyltransferase [EC:2.1.1.10]
ko:K00549	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
ko:K00551	PEMT	phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
ko:K00555	TRMT1, trm1	tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]
ko:K00559	SMT1, ERG6	sterol 24-C-methyltransferase [EC:2.1.1.41]
ko:K00560	thyA, TYMS	thymidylate synthase [EC:2.1.1.45]
ko:K00565	RNMT	mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]
ko:K00567	ogt, MGMT	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]
ko:K00568,ko:K00591		
ko:K00586	DPH5	diphthine methyl ester synthase [EC:2.1.1.314]
ko:K00587	ICMT, STE14	protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]
ko:K00589	MET1	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
ko:K00600	glyA, SHMT	glycine hydroxymethyltransferase [EC:2.1.2.1]
ko:K00601	E2.1.2.2	phosphoribosylglycinamide formyltransferase [EC:2.1.2.2]
ko:K00602	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
ko:K00604	MTFMT, fmt	methionyl-tRNA formyltransferase [EC:2.1.2.9]
ko:K00605	gcvT, AMT	aminomethyltransferase [EC:2.1.2.10]
ko:K00606	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
ko:K00611	OTC, argF, argI	ornithine carbamoyltransferase [EC:2.1.3.3]
ko:K00615	E2.2.1.1, tktA, tktB	transketolase [EC:2.2.1.1]
ko:K00616	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]
ko:K00618	ARG2	amino-acid N-acetyltransferase [EC:2.3.1.1]
ko:K00620	argJ	glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
ko:K00621	GNPNAT1, GNA1	glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
ko:K00624	E2.3.1.7	carnitine O-acetyltransferase [EC:2.3.1.7]
ko:K00626	ACAT, atoB	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
ko:K00627	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
ko:K00637	SOAT	sterol O-acyltransferase [EC:2.3.1.26]
ko:K00641	metX	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
ko:K00643	E2.3.1.37, ALAS	5-aminolevulinate synthase [EC:2.3.1.37]
ko:K00645	fabD, MCAT, MCT1	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
ko:K00652,ko:K01598		
ko:K00654	SPT	serine palmitoyltransferase [EC:2.3.1.50]
ko:K00658	DLST, sucB	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
ko:K00664	ATF	alcohol O-acetyltransferase [EC:2.3.1.84]
ko:K00667	FAS2	fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]
ko:K00667,ko:K00668		
ko:K00670	NAA30, MAK3	N-alpha-acetyltransferase 30 [EC:2.3.1.256]
ko:K00671	NMT	glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]
ko:K00679	E2.3.1.158	phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]
ko:K00681	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
ko:K00681,ko:K18592		
ko:K00683	QPCT	glutaminyl-peptide cyclotransferase [EC:2.3.2.5]
ko:K00685	ATE1	arginyl-tRNA---protein transferase [EC:2.3.2.8]
ko:K00688	PYG, glgP	glycogen phosphorylase [EC:2.4.1.1]
ko:K00688,ko:K03155,ko:K15149		
ko:K00693	GYS	glycogen synthase [EC:2.4.1.11]
ko:K00697	otsA	trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
ko:K00697,ko:K16055,ko:K22337		
ko:K00698	CHS1	chitin synthase [EC:2.4.1.16]
ko:K00700	GBE1, glgB	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
ko:K00700,ko:K02133		
ko:K00706	E2.4.1.34	1,3-beta-glucan synthase [EC:2.4.1.34]
ko:K00720	UGCG	ceramide glucosyltransferase [EC:2.4.1.80]
ko:K00721	DPM1	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
ko:K00728	POMT, pmt	dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]
ko:K00729	ALG5	dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]
ko:K00730	OST4	oligosaccharyl transferase complex subunit OST4
ko:K00750	GYG1, GYG2	glycogenin [EC:2.4.1.186]
ko:K00759	APRT, apt	adenine phosphoribosyltransferase [EC:2.4.2.7]
ko:K00761	upp, UPRT	uracil phosphoribosyltransferase [EC:2.4.2.9]
ko:K00762	pyrE	orotate phosphoribosyltransferase [EC:2.4.2.10]
ko:K00763	pncB, NAPRT1	nicotinate phosphoribosyltransferase [EC:6.3.4.21]
ko:K00764	purF, PPAT	amidophosphoribosyltransferase [EC:2.4.2.14]
ko:K00765	hisG	ATP phosphoribosyltransferase [EC:2.4.2.17]
ko:K00766	trpD	anthranilate phosphoribosyltransferase [EC:2.4.2.18]
ko:K00767	nadC, QPRT	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
ko:K00772	mtaP, MTAP	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
ko:K00784	rnz	ribonuclease Z [EC:3.1.26.11]
ko:K00787	FDPS	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
ko:K00789	metK, MAT	S-adenosylmethionine synthetase [EC:2.5.1.6]
ko:K00791	miaA, TRIT1	tRNA dimethylallyltransferase [EC:2.5.1.75]
ko:K00793	ribE, RIB5	riboflavin synthase [EC:2.5.1.9]
ko:K00794	ribH, RIB4	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
ko:K00797	speE, SRM, SPE3	spermidine synthase [EC:2.5.1.16]
ko:K00799	GST, gst	glutathione S-transferase [EC:2.5.1.18]
ko:K00799,ko:K01872,ko:K03233,ko:K10028		
ko:K00801	FDFT1	farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
ko:K00802	SMS	spermine synthase [EC:2.5.1.22]
ko:K00804	GGPS1	geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]
ko:K00809	DHPS, dys	deoxyhypusine synthase [EC:2.5.1.46]
ko:K00814	GPT, ALT	alanine transaminase [EC:2.6.1.2]
ko:K00817	hisC	histidinol-phosphate aminotransferase [EC:2.6.1.9]
ko:K00818	E2.6.1.11, argD	acetylornithine aminotransferase [EC:2.6.1.11]
ko:K00819	rocD, OAT	ornithine--oxo-acid transaminase [EC:2.6.1.13]
ko:K00820	glmS, GFPT	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
ko:K00826	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase [EC:2.6.1.42]
ko:K00830	AGXT	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
ko:K00831	serC, PSAT1	phosphoserine aminotransferase [EC:2.6.1.52]
ko:K00833,ko:K19562		
ko:K00838	ARO8	aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]
ko:K00844	HK	hexokinase [EC:2.7.1.1]
ko:K00849	galK	galactokinase [EC:2.7.1.6]
ko:K00850	pfkA, PFK	6-phosphofructokinase 1 [EC:2.7.1.11]
ko:K00851	idnK, gntK	gluconokinase [EC:2.7.1.12]
ko:K00852	rbsK, RBKS	ribokinase [EC:2.7.1.15]
ko:K00854	xylB, XYLB	xylulokinase [EC:2.7.1.17]
ko:K00856	ADK, adoK	adenosine kinase [EC:2.7.1.20]
ko:K00858	ppnK, NADK	NAD+ kinase [EC:2.7.1.23]
ko:K00859	coaE	dephospho-CoA kinase [EC:2.7.1.24]
ko:K00860	cysC	adenylylsulfate kinase [EC:2.7.1.25]
ko:K00861	RFK, FMN1	riboflavin kinase [EC:2.7.1.26]
ko:K00863	DAK, TKFC	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]
ko:K00864	glpK, GK	glycerol kinase [EC:2.7.1.30]
ko:K00866	CKI1	choline kinase [EC:2.7.1.32]
ko:K00866,ko:K00894		
ko:K00868	pdxK, pdxY	pyridoxine kinase [EC:2.7.1.35]
ko:K00869	MVK, mvaK1	mevalonate kinase [EC:2.7.1.36]
ko:K00872	thrB	homoserine kinase [EC:2.7.1.39]
ko:K00873	PK, pyk	pyruvate kinase [EC:2.7.1.40]
ko:K00876	udk, UCK	uridine kinase [EC:2.7.1.48]
ko:K00877	THI20	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase [EC:2.7.1.49 2.7.4.7 3.5.99.2]
ko:K00888	PI4KA	phosphatidylinositol 4-kinase A [EC:2.7.1.67]
ko:K00889	PIP5K	1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
ko:K00898	PDK2_3_4	pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]
ko:K00900	E2.7.1.105, PFK	6-phosphofructo-2-kinase [EC:2.7.1.105]
ko:K00902,ko:K05542		
ko:K00914	PIK3C3, VPS34	phosphatidylinositol 3-kinase [EC:2.7.1.137]
ko:K00915,ko:K14399		
ko:K00916	CTK1	CTD kinase subunit alpha [EC:2.7.11.22 2.7.11.23]
ko:K00921	PIKFYVE, FAB1	1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
ko:K00927	PGK, pgk	phosphoglycerate kinase [EC:2.7.2.3]
ko:K00928	lysC	aspartate kinase [EC:2.7.2.4]
ko:K00931	proB	glutamate 5-kinase [EC:2.7.2.11]
ko:K00938	E2.7.4.2, mvaK2	phosphomevalonate kinase [EC:2.7.4.2]
ko:K00939	adk, AK	adenylate kinase [EC:2.7.4.3]
ko:K00939,ko:K00944		
ko:K00940	ndk, NME	nucleoside-diphosphate kinase [EC:2.7.4.6]
ko:K00942	gmk, GUK1	guanylate kinase [EC:2.7.4.8]
ko:K00943	tmk, DTYMK	dTMP kinase [EC:2.7.4.9]
ko:K00948	PRPS, prsA	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
ko:K00949	thiN, TPK1, THI80	thiamine pyrophosphokinase [EC:2.7.6.2]
ko:K00953	FLAD1	FAD synthetase [EC:2.7.7.2]
ko:K00958	sat, met3	sulfate adenylyltransferase [EC:2.7.7.4]
ko:K00963	UGP2, galU, galF	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
ko:K00965	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
ko:K00966	GMPP	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
ko:K00967	PCYT2	ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]
ko:K00968	PCYT1	choline-phosphate cytidylyltransferase [EC:2.7.7.15]
ko:K00972	UAP1	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83]
ko:K00974	cca	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
ko:K00981	E2.7.7.41, CDS1, CDS2, cdsA	phosphatidate cytidylyltransferase [EC:2.7.7.41]
ko:K00987	CEG1	mRNA guanylyltransferase [EC:2.7.7.50]
ko:K00988	APA1_2	sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53]
ko:K00993,ko:K00994		
ko:K00995	pgsA, PGS1	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
ko:K00999	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]
ko:K01001	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]
ko:K01011	TST, MPST, sseA	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
ko:K01012	bioB	biotin synthase [EC:2.8.1.6]
ko:K01046	lip, TGL2	triacylglycerol lipase [EC:3.1.1.3]
ko:K01046,ko:K02152		
ko:K01052	LIPA	lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]
ko:K01054	MGLL	acylglycerol lipase [EC:3.1.1.23]
ko:K01056	PTH1, PTRH1, pth, spoVC	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
ko:K01057	PGLS, pgl, devB	6-phosphogluconolactonase [EC:3.1.1.31]
ko:K01061	E3.1.1.45	carboxymethylenebutenolidase [EC:3.1.1.45]
ko:K01067	E3.1.2.1, ACH1	acetyl-CoA hydrolase [EC:3.1.2.1]
ko:K01068,ko:K11992		
ko:K01069	gloB, gloC, HAGH	hydroxyacylglutathione hydrolase [EC:3.1.2.6]
ko:K01070	frmB, ESD, fghA	S-formylglutathione hydrolase [EC:3.1.2.12]
ko:K01077	E3.1.3.1, phoA, phoB	alkaline phosphatase [EC:3.1.3.1]
ko:K01078	PHO	acid phosphatase [EC:3.1.3.2]
ko:K01079	serB, PSPH	phosphoserine phosphatase [EC:3.1.3.3]
ko:K01082	cysQ, MET22, BPNT1	3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]
ko:K01092	E3.1.3.25, IMPA, suhB	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
ko:K01094	GEP4	phosphatidylglycerophosphatase GEP4 [EC:3.1.3.27]
ko:K01098	CET1	polynucleotide 5'-triphosphatase [EC:3.6.1.74]
ko:K01101	E3.1.3.41	4-nitrophenyl phosphatase [EC:3.1.3.41]
ko:K01101,ko:K02685		
ko:K01102	PDP	pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
ko:K01104	E3.1.3.48	protein-tyrosine phosphatase [EC:3.1.3.48]
ko:K01104,ko:K01110		
ko:K01104,ko:K19806		
ko:K01106,ko:K01974		
ko:K01111	E3.1.3.68	2-deoxyglucose-6-phosphatase [EC:3.1.3.68]
ko:K01115	PLD1_2	phospholipase D1/2 [EC:3.1.4.4]
ko:K01120	cpdP	3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]
ko:K01120,ko:K03233		
ko:K01126,ko:K18694		
ko:K01127	GPLD1	glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]
ko:K01130	E3.1.6.1	arylsulfatase [EC:3.1.6.1]
ko:K01164	POP1	ribonuclease P/MRP protein subunit POP1 [EC:3.1.26.5]
ko:K01166	RNASET2	ribonuclease T2 [EC:4.6.1.19]
ko:K01173	ENDOG	endonuclease G, mitochondrial
ko:K01174	nuc	micrococcal nuclease [EC:3.1.31.1]
ko:K01178	SGA1	glucoamylase [EC:3.2.1.3]
ko:K01180	E3.2.1.6	endo-1,3(4)-beta-glucanase [EC:3.2.1.6]
ko:K01182,ko:K01187		
ko:K01183	E3.2.1.14	chitinase [EC:3.2.1.14]
ko:K01183,ko:K10955,ko:K19898,ko:K22023		
ko:K01184,ko:K01213		
ko:K01188,ko:K05349		
ko:K01190	lacZ	beta-galactosidase [EC:3.2.1.23]
ko:K01191	MAN2C1	alpha-mannosidase [EC:3.2.1.24]
ko:K01191,ko:K10084		
ko:K01192,ko:K01624		
ko:K01193	INV, sacA	beta-fructofuranosidase [EC:3.2.1.26]
ko:K01194	TREH, treA, treF	alpha,alpha-trehalase [EC:3.2.1.28]
ko:K01196	AGL	glycogen debranching enzyme [EC:2.4.1.25 3.2.1.33]
ko:K01210	E3.2.1.58	glucan 1,3-beta-glucosidase [EC:3.2.1.58]
ko:K01216	bglS	licheninase [EC:3.2.1.73]
ko:K01228	MOGS	mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]
ko:K01230	MAN1A_C, MNS1_2	mannosyl-oligosaccharide alpha-1,2-mannosidase [EC:3.2.1.113]
ko:K01238	SUN	SUN family beta-glucosidase [EC:3.2.1.-]
ko:K01240	URH1	uridine nucleosidase [EC:3.2.2.3]
ko:K01247	alkA	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
ko:K01251	AHCY, ahcY	adenosylhomocysteinase [EC:3.13.2.1]
ko:K01251,ko:K20237		
ko:K01254,ko:K15428		
ko:K01256,ko:K13721		
ko:K01262	pepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]
ko:K01262,ko:K06111		
ko:K01264	APE3	aminopeptidase Y [EC:3.4.11.15]
ko:K01265	map	methionyl aminopeptidase [EC:3.4.11.18]
ko:K01266,ko:K03859		
ko:K01267	DNPEP	aspartyl aminopeptidase [EC:3.4.11.21]
ko:K01268	LAP4	aminopeptidase I [EC:3.4.11.22]
ko:K01273	DPEP	membrane dipeptidase [EC:3.4.13.19]
ko:K01277	DPP3	dipeptidyl-peptidase III [EC:3.4.14.4]
ko:K01282	DAP2	dipeptidyl aminopeptidase B [EC:3.4.14.-]
ko:K01288	KEX1	carboxypeptidase D [EC:3.4.16.6]
ko:K01293	E3.4.17.4	Gly-Xaa carboxypeptidase [EC:3.4.17.4]
ko:K01301	NAALAD	N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21]
ko:K01336	PRB1	cerevisin [EC:3.4.21.48 3.4.21.-]
ko:K01338	lon	ATP-dependent Lon protease [EC:3.4.21.53]
ko:K01341	KEX2	kexin [EC:3.4.21.61]
ko:K01372	BLMH, pepC	bleomycin hydrolase [EC:3.4.22.40]
ko:K01379,ko:K01381		
ko:K01381	PEP4	saccharopepsin [EC:3.4.23.25]
ko:K01383,ko:K06005,ko:K06009		
ko:K01405,ko:K13726		
