Sample_ID,Origin,Condition,Farming,Variety,Ethyl acetate,Fusel alcohol acetates,Fusel alcohols,EEFA,SCFA,MCFA,Density_must,pH_must,Acetic_acid,Ammonia,Sugars,Glycerol,Lactic_acid,Malic_acid,PAN,Ethanol,Tartaric_acid,Citric_acid,Succinic_acid,pH
R3C CONV  Control,R3C,Control,CONV,Tempranillo,9.46,0,29.38,0,0,0,1098,3.65,0.27,0,90.72,6.68,8.16,1.07,9,9.34,0.33,0.07,1.44,3.13
R3C CONV  18C,R3C,18C,CONV,Tempranillo,16.65,24.52,239.54,0,1.87,5.82,1098,3.65,0.27,187,115.86,6.39,16.77,1.22,40,7.85,0,0.1,0.14,2.88
R3C CONV  NH4,R3C,NH4,CONV,Tempranillo,15.77,56.16,243.06,0,1.21,4.18,1098,3.65,0.24,15,90.53,8.42,4.15,1.3,14,9.92,1.07,0.07,1.83,3.32
R3C CONV  SO2,R3C,SO2,CONV,Tempranillo,22.53,2.6,447.63,0,0,10.38,1098,3.57,0.36,0,94.75,8.84,1.35,1.33,10,9.69,0.97,0.15,1.55,3.29
R3C ECO  Control,R3C,Control,ECO,Tempranillo,10.84,13.39,321.29,0,1.44,5.56,1098,3.57,0.4,0,104.39,8.41,0.49,1.58,23,9.23,0.48,0.17,1.39,3.28
R3C ECO  18C,R3C,18C,ECO,Tempranillo,37.85,39.44,684.07,0,3.01,13.65,1098,3.57,0.33,133,102.01,7.92,2.58,1.33,32,9.18,0.25,0.25,0.44,3.13
R3C ECO  SO2,R3C,SO2,ECO,Tempranillo,29.29,35.76,512.53,0,0.62,4.86,1098,3.57,0.35,0,127.78,8.02,0.16,1.73,27,7.79,0.8,0.24,1.21,3.27
RdG CONV  Control,RdG,Control,CONV,Garnacha,6.31,31,230.92,0,1.79,12.89,1091,3.45,1.19,141,1.28,9.08,0.04,0.43,140,13.91,2.07,0,0.47,3.18
RdG CONV  18C,RdG,18C,CONV,Garnacha,19.09,26.79,154.84,0,11.75,6.51,1091,3.45,0.68,183,26.61,8.67,0.01,1.09,91,12.39,2.23,0.06,0.7,3.22
RdG CONV  NH4,RdG,NH4,CONV,Garnacha,165.59,40.46,540.05,0,2.26,15.79,1091,3.45,0.97,233,1.06,8.72,0.01,0.45,190,13.88,1.69,0,0.26,3.37
RdG CONV  SO2,RdG,SO2,CONV,Garnacha,68.34,32.93,557.94,0,2.93,9.3,1091,3.45,0.86,139,0.42,8.37,0.01,0.42,110,13.78,1.84,0.05,0.45,3.21
RdG ECO  18C,RdG,18C,ECO,Tempranillo,69.39,48.48,729.74,0,2.22,3.91,1096,3.91,0.24,10,59.98,7.94,1.45,1.59,23,11.31,1.39,0,2.06,3.71
RdG ECO  NH4,RdG,NH4,ECO,Tempranillo,21.03,25.33,159.04,0,0,1.04,1096,3.91,0.41,222,64.37,7.31,1.85,1.67,68,10.71,1.37,0.05,0.71,3.74
RdG ECO  SO2,RdG,SO2,ECO,Tempranillo,25.23,40.19,886.43,0,0.69,2.37,1096,3.91,0.18,12,71.54,7.6,4.77,1.37,28,10.39,1.61,0.04,2.49,3.47
VLP CONV  Control,VLP,Control,CONV,Tempranillo,21.03,46.61,971.27,0,2.72,0.4,1084,3.79,0.7,24,0.02,8.92,0,1.75,34,11.59,1.48,0,1.74,3.51
VLP CONV  18C,VLP,18C,CONV,Tempranillo,25.23,58.2,565.18,0,3.79,1.95,1084,3.79,0.14,18,0.19,8.11,0.01,2.19,21,12.3,1.7,0,1.75,3.54
VLP CONV  NH4,VLP,NH4,CONV,Tempranillo,43.81,50.45,841.75,0,6.4,1.87,1084,3.79,0.59,28,0.02,9.98,0.01,1.47,72,11.7,1.52,0.04,1.3,3.47
VLP CONV  SO2,VLP,SO2,CONV,Tempranillo,7.89,77.51,1496.51,0,0.74,3.14,1084,3.79,0.08,11,0.08,9.66,0.02,1.66,46,12.64,1.59,0.05,1.78,3.58
VLP ECO  Control,VLP,Control,ECO,Tempranillo,33.79,19.05,336.78,0,0,1.16,1094,3.78,0.09,30,0.03,9.82,0.01,1.38,40,14.71,1.2,0.06,2.18,3.51
VLP ECO  18C,VLP,18C,ECO,Tempranillo,34.69,61,459.87,0,0,1.46,1094,3.78,0.07,14,0.18,9.31,0.02,1.64,27,14.87,1.34,0,2.12,3.59
